"OHIO INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Ohio (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI) "
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"39.0","96.0","OH","OH Total Mig - US & For","72240.0","135173.0","3276896.0"
"39.0","97.0","OH","OH Total Mig - US","70928.0","132463.0","3212912.0"
"39.0","98.0","OH","OH Total Mig - Foreign","1312.0","2710.0","63985.0"
"39.0","39.0","OH","OH Non-Migrants","4378776.0","9102417.0","231711961.0"
"39.0","12.0","FL","FLORIDA","6811.0","11970.0","254739.0"
"39.0","21.0","KY","KENTUCKY","5128.0","9470.0","188826.0"
"39.0","26.0","MI","MICHIGAN","5079.0","9400.0","236871.0"
"39.0","42.0","PA","PENNSYLVANIA","4470.0","8016.0","222557.0"
"39.0","18.0","IN","INDIANA","4371.0","8341.0","173044.0"
"39.0","6.0","CA","CALIFORNIA","3581.0","6358.0","168101.0"
"39.0","48.0","TX","TEXAS","3489.0","6874.0","169785.0"
"39.0","17.0","IL","ILLINOIS","3159.0","5819.0","189522.0"
"39.0","36.0","NY","NEW YORK","3030.0","5291.0","144273.0"
"39.0","37.0","NC","NORTH CAROLINA","2856.0","5492.0","113411.0"
"39.0","54.0","WV","WEST VIRGINIA","2671.0","4907.0","87190.0"
"39.0","13.0","GA","GEORGIA","2535.0","4982.0","106210.0"
"39.0","51.0","VA","VIRGINIA","2299.0","4442.0","115376.0"
"39.0","47.0","TN","TENNESSEE","2042.0","3991.0","85414.0"
"39.0","4.0","AZ","ARIZONA","1612.0","2991.0","67023.0"
"39.0","45.0","SC","SOUTH CAROLINA","1444.0","2668.0","57415.0"
"39.0","57.0","FR","Foreign","1312.0","2710.0","63985.0"
"39.0","24.0","MD","MARYLAND","1187.0","2129.0","63165.0"
"39.0","34.0","NJ","NEW JERSEY","1153.0","2223.0","71760.0"
"39.0","8.0","CO","COLORADO","1108.0","2080.0","48599.0"
"39.0","29.0","MO","MISSOURI","1008.0","1972.0","53058.0"
"39.0","25.0","MA","MASSACHUSETTS","916.0","1566.0","66013.0"
"39.0","55.0","WI","WISCONSIN","859.0","1686.0","48953.0"
"39.0","53.0","WA","WASHINGTON","850.0","1660.0","49843.0"
"39.0","1.0","AL","ALABAMA","843.0","1746.0","33094.0"
"39.0","32.0","NV","NEVADA","776.0","1396.0","32947.0"
"39.0","27.0","MN","MINNESOTA","676.0","1300.0","42610.0"
"39.0","20.0","KS","KANSAS","561.0","1127.0","24516.0"
"39.0","22.0","LA","LOUISIANA","557.0","1106.0","29405.0"
"39.0","9.0","CT","CONNECTICUT","508.0","969.0","36670.0"
"39.0","40.0","OK","OKLAHOMA","492.0","1049.0","19861.0"
"39.0","19.0","IA","IOWA","448.0","911.0","23989.0"
"39.0","28.0","MS","MISSISSIPPI","443.0","889.0","14335.0"
"39.0","5.0","AR","ARKANSAS","414.0","829.0","20006.0"
"39.0","49.0","UT","UTAH","379.0","898.0","17035.0"
"39.0","41.0","OR","OREGON","364.0","640.0","15008.0"
"39.0","35.0","NM","NEW MEXICO","330.0","646.0","14666.0"
"39.0","15.0","HI","HAWAII","287.0","587.0","9612.0"
"39.0","31.0","NE","NEBRASKA","268.0","492.0","12044.0"
"39.0","11.0","DC","DISTRICT OF COLUMBIA","244.0","322.0","12640.0"
"39.0","2.0","AK","ALASKA","221.0","425.0","9477.0"
"39.0","16.0","ID","IDAHO","196.0","425.0","7369.0"
"39.0","33.0","NH","NEW HAMPSHIRE","196.0","343.0","10165.0"
"39.0","10.0","DE","DELAWARE","182.0","348.0","10133.0"
"39.0","23.0","ME","MAINE","168.0","322.0","7214.0"
"39.0","30.0","MT","MONTANA","132.0","230.0","4254.0"
"39.0","44.0","RI","RHODE ISLAND","131.0","228.0","6325.0"
"39.0","56.0","WY","WYOMING","129.0","263.0","4394.0"
"39.0","46.0","SD","SOUTH DAKOTA","116.0","249.0","4532.0"
"39.0","38.0","ND","NORTH DAKOTA","113.0","219.0","4092.0"
"39.0","50.0","VT","VERMONT","96.0","176.0","5372.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
